Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Other,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Total - All Places of Death,44,718,63,17,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, inpatient",18,188,35,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Decedent's home,,197,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Hospice facility,,79,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Nursing home/long term care facility,18,171,,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Other,,37,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Total - All Places of Death,40,671,42,19,0,63,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, inpatient",30,161,24,16,0,38,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, outpatient or emergency room",,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Decedent's home,,185,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Hospice facility,,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Nursing home/long term care facility,,164,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Other,0,44,0,0,0,0,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Total - All Places of Death,50,740,66,26,0,90,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, inpatient",29,208,49,19,0,59,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, outpatient or emergency room",,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Decedent's home,,205,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Hospice facility,,75,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Nursing home/long term care facility,13,162,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Other,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Total - All Places of Death,49,785,64,19,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, inpatient",30,228,44,15,0,59,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, outpatient or emergency room",0,47,0,0,0,0,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Decedent's home,,192,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Hospice facility,,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Nursing home/long term care facility,17,184,10,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Other,0,59,0,0,0,0,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Total - All Places of Death,116,803,83,55,0,144,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, inpatient",62,229,61,43,0,80,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, outpatient or emergency room",,48,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Decedent's home,,175,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Hospice facility,,84,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Nursing home/long term care facility,37,230,11,,0,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Other,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Total - All Places of Death,265,1006,150,107,0,308,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, inpatient",130,309,99,76,0,153,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, outpatient or emergency room",,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Decedent's home,,211,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Hospice facility,,92,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Nursing home/long term care facility,116,313,34,25,0,125,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Other,,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Total - All Places of Death,701,1457,315,274,,742,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, inpatient",313,483,224,198,,339,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, outpatient or emergency room",11,53,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Decedent's home,23,244,10,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Hospice facility,15,109,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Nursing home/long term care facility,333,523,59,54,0,338,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Other,,45,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Total - All Places of Death,427,1082,238,189,0,476,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, inpatient",241,401,188,163,0,266,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, outpatient or emergency room",11,58,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Decedent's home,21,211,,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Hospice facility,17,95,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Nursing home/long term care facility,135,291,24,13,0,146,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Other,,26,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Total - All Places of Death,187,901,142,97,,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, inpatient",115,316,108,78,0,145,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, outpatient or emergency room",,49,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Decedent's home,15,222,10,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Hospice facility,11,90,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Nursing home/long term care facility,41,200,14,,0,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Other,,24,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Total - All Places of Death,70,710,77,36,0,111,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, inpatient",40,202,56,28,0,68,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Decedent's home,,188,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Hospice facility,,75,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Nursing home/long term care facility,17,167,,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Other,,29,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Total - All Places of Death,39,727,65,13,0,91,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, inpatient",21,220,51,11,0,61,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, outpatient or emergency room",,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Decedent's home,,194,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Hospice facility,,80,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Nursing home/long term care facility,,163,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Other,0,30,0,0,0,0,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Total - All Places of Death,40,655,59,25,0,74,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, inpatient",32,204,46,21,0,57,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, outpatient or emergency room",,38,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Decedent's home,,148,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Hospice facility,,62,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Nursing home/long term care facility,,170,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Other,0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Total - All Places of Death,26,529,60,16,0,70,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, inpatient",19,169,43,13,0,49,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, outpatient or emergency room",,25,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Decedent's home,,114,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Hospice facility,,77,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Nursing home/long term care facility,,124,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Other,0,20,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Total - All Places of Death,0,14,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,"Healthcare setting, inpatient",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,"Healthcare setting, outpatient or emergency room",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Decedent's home,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Hospice facility,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Nursing home/long term care facility,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Other,0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Total - All Places of Death,0,7148,622,0,99,721,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,"Healthcare setting, inpatient",0,2372,446,0,70,516,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,"Healthcare setting, outpatient or emergency room",0,650,38,0,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,"Healthcare setting, dead on arrival",0,145,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Decedent's home,0,2113,46,0,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Hospice facility,0,300,21,0,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Nursing home/long term care facility,0,1267,64,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Other,0,301,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Total - All Places of Death,0,6298,467,0,58,525,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,"Healthcare setting, inpatient",0,2085,336,0,41,377,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,"Healthcare setting, outpatient or emergency room",0,537,24,0,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,"Healthcare setting, dead on arrival",0,114,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Decedent's home,0,1913,46,0,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Hospice facility,0,276,10,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Nursing home/long term care facility,0,1075,44,0,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Other,0,298,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Total - All Places of Death,35,6936,535,20,49,599,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,"Healthcare setting, inpatient",34,2075,348,20,36,398,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,"Healthcare setting, outpatient or emergency room",0,567,24,0,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,"Healthcare setting, dead on arrival",0,143,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Decedent's home,0,2228,55,0,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Hospice facility,0,294,18,0,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Nursing home/long term care facility,0,1240,81,0,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Other,,389,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Total - All Places of Death,185,6516,533,81,,643,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,"Healthcare setting, inpatient",151,1778,340,71,,425,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,"Healthcare setting, outpatient or emergency room",,546,19,0,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,"Healthcare setting, dead on arrival",,156,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Decedent's home,,2328,69,,0,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Hospice facility,,162,12,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Nursing home/long term care facility,17,1159,82,,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Other,,387,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Tennessee,Total - All Places of Death,203,6709,465,68,,603,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Tennessee,"Healthcare setting, inpatient",128,1908,313,47,,397,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
